total_price,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost
104,House,Private room,1,1,1,f
165,House,Entire home/apt,2,2,3,t
124,House,Entire home/apt,1,1,1,f
187,House,Entire home/apt,2,3,3,t
244,House,Entire home/apt,1,2,3,t
738,House,Entire home/apt,6,6,6,t
299,Townhouse,Entire home/apt,2,2,3,f
99,Apartment,Entire home/apt,1,1,2,f
179,Apartment,Entire home/apt,1,1,1,f
130,House,Entire home/apt,1,2,2,f
178,House,Entire home/apt,1,1,1,t
130,House,Private room,1.5,1,1,f
474,House,Entire home/apt,2,3,3,t
338,House,Entire home/apt,1,2,2,t
150,Apartment,Entire home/apt,1,1,1,f
384,House,Entire home/apt,2,3,5,f
63,House,Private room,1,1,1,f
225,House,Entire home/apt,2,3,4,t
92,House,Private room,1,1,1,f
427,House,Entire home/apt,2,3,4,f
200,House,Entire home/apt,2,1,1,f
408,Apartment,Entire home/apt,1,1,1,f
437,Apartment,Entire home/apt,1,1,1,f
406,Apartment,Entire home/apt,1,1,1,f
406,Apartment,Entire home/apt,1,1,1,f
406,Apartment,Entire home/apt,1,1,1,f
439,Apartment,Entire home/apt,1,1,1,f
407,Apartment,Entire home/apt,1,1,1,f
407,Apartment,Entire home/apt,1,1,1,f
200,House,Entire home/apt,1,0,1,f
852,House,Entire home/apt,3.5,3,4,t
175,House,Entire home/apt,1,3,4,f
200,House,Entire home/apt,2,2,2,t
179,Apartment,Entire home/apt,1,1,1,f
148,Apartment,Entire home/apt,1,1,1,f
150,Apartment,Entire home/apt,1,1,1,f
159,Apartment,Entire home/apt,1,1,1,f
95,Apartment,Entire home/apt,1,1,1,f
437,Apartment,Entire home/apt,1,1,1,f
280,House,Entire home/apt,2,3,5,f
164,Apartment,Entire home/apt,1,1,1,t
792,House,Entire home/apt,3,3,4,f
164,Condominium,Entire home/apt,1,1,1,f
551,House,Entire home/apt,2,3,4,f
204,House,Entire home/apt,2,3,4,f
391,House,Entire home/apt,2,3,7,f
690,Townhouse,Entire home/apt,3,3,3,t
625,Condominium,Entire home/apt,1,1,2,t
470,Condominium,Entire home/apt,1,1,2,t
300,House,Entire home/apt,1,2,2,f
200,Condominium,Entire home/apt,1,1,1,f
650,House,Entire home/apt,3.5,4,7,f
225,House,Entire home/apt,2,3,2,f
118,House,Entire home/apt,1,1,1,f
